threshold_label,lang,flagged_n,total_n,flagged_rate,flagged_pct
mu_minus_1sigma,Bengali,15,1032,0.014534883720930232,1.4534883720930232
mu_minus_1sigma,Hindi,29,1032,0.02810077519379845,2.810077519379845
mu_minus_1sigma,Marathi,268,1032,0.2596899224806202,25.968992248062015
mu_minus_1sigma,Tamil,32,1032,0.031007751937984496,3.10077519379845
mu_minus_1sigma,Telugu,64,1032,0.06201550387596899,6.2015503875969
empirical_knee,Bengali,14,1032,0.013565891472868217,1.3565891472868217
empirical_knee,Hindi,25,1032,0.02422480620155039,2.422480620155039
empirical_knee,Marathi,219,1032,0.21220930232558138,21.22093023255814
empirical_knee,Tamil,25,1032,0.02422480620155039,2.422480620155039
empirical_knee,Telugu,53,1032,0.05135658914728682,5.135658914728682
