k,tau,review_rate,recall_exec_error,recall_order_error,precision_exec_error,precision_order_error,utility_recall_order_minus_review,flagged_n,captured_exec_error_n,captured_order_error_n
0.5,0.7130527288998854,0.17509986684420772,0.1462663587374904,0.1459521094640821,0.3612167300380228,0.24334600760456274,-0.029147757380125622,526,190,128
0.55,0.7064766443261994,0.1614513981358189,0.13010007698229406,0.1322690992018244,0.34845360824742266,0.23917525773195877,-0.029182298933994516,485,169,116
0.6000000000000001,0.6999005597525135,0.15046604527296936,0.12240184757505773,0.12314709236031927,0.35176991150442477,0.23893805309734514,-0.027318952912650088,452,159,108
0.6500000000000001,0.6933244751788276,0.1414780292942743,0.11547344110854503,0.11630558722919042,0.35294117647058826,0.24,-0.025172442065083886,425,150,102
0.7000000000000002,0.6867483906051417,0.13249001331557922,0.10469591993841416,0.10148232611174458,0.3417085427135678,0.2236180904522613,-0.031007687203834636,398,136,89
0.7500000000000002,0.6801723060314557,0.12616511318242343,0.100846805234796,0.10034207525655645,0.34564643799472294,0.23218997361477572,-0.025823037925866987,379,131,88
0.8000000000000003,0.6735962214577699,0.118508655126498,0.09545804464973057,0.09350057012542759,0.34831460674157305,0.2303370786516854,-0.025008085001070407,356,124,82
0.8500000000000003,0.6670201368840839,0.11218375499334221,0.08852963818321787,0.08779931584948689,0.34124629080118696,0.228486646884273,-0.024384439143855324,337,115,77
0.9000000000000004,0.660444052310398,0.10652463382157124,0.08391070053887606,0.08323831242873432,0.340625,0.228125,-0.023286321392836914,320,109,73
0.9500000000000004,0.6538679677367121,0.10086551264980026,0.0800615858352579,0.07867730900798175,0.3432343234323432,0.22772277227722773,-0.022188203641818505,303,104,69
1.0000000000000004,0.6472918831630262,0.09587217043941411,0.07236335642802155,0.07183580387685291,0.3263888888888889,0.21875,-0.024036366562561196,288,94,63
1.0500000000000005,0.6407157985893404,0.09254327563249001,0.06928406466512702,0.07069555302166476,0.3237410071942446,0.22302158273381295,-0.02184772261082525,278,90,62
1.1000000000000005,0.6341397140156544,0.08854860186418109,0.06466512702078522,0.06385404789053592,0.3157894736842105,0.21052631578947367,-0.024694553973645172,266,84,56
1.1500000000000006,0.6275636294419684,0.08355525965379494,0.05850654349499615,0.05701254275940707,0.30278884462151395,0.199203187250996,-0.02654271689438787,251,76,50
1.2000000000000006,0.6209875448682826,0.07789613848202397,0.05388760585065435,0.053591790193842644,0.29914529914529914,0.20085470085470086,-0.024304348288181322,234,70,47
1.2500000000000007,0.6144114602945967,0.07290279627163782,0.04849884526558892,0.04903078677309008,0.2876712328767123,0.1963470319634703,-0.023872009498547737,219,63,43
1.3000000000000007,0.6078353757209107,0.06957390146471372,0.044649730561970746,0.04561003420752566,0.27751196172248804,0.19138755980861244,-0.023963867257188062,209,58,40
1.3500000000000008,0.6012592911472249,0.06790945406125166,0.04387990762124711,0.04446978335233751,0.27941176470588236,0.19117647058823528,-0.023439670708914152,204,57,39
1.4000000000000008,0.5946832065735389,0.06524633821571238,0.04157043879907621,0.04104903078677309,0.2755102040816326,0.1836734693877551,-0.024197307428939288,196,54,36
1.4500000000000008,0.588107121999853,0.06225033288948069,0.037721324095458045,0.036488027366020526,0.2620320855614973,0.1711229946524064,-0.025762305523460163,187,49,32
1.5000000000000009,0.5815310374261671,0.05892143808255659,0.03541185527328714,0.0330672748004561,0.2598870056497175,0.1638418079096045,-0.025854163282100495,177,46,29
1.550000000000001,0.5749549528524812,0.0559254327563249,0.03387220939183987,0.03192702394526796,0.2619047619047619,0.16666666666666666,-0.023998408811056943,168,44,28
1.600000000000001,0.5683788682787952,0.05359520639147803,0.03156274056966898,0.029646522234891677,0.2546583850931677,0.16149068322981366,-0.023948684156586353,161,41,26
1.650000000000001,0.5618027837051094,0.050932090545938745,0.029253271747498075,0.029646522234891677,0.24836601307189543,0.16993464052287582,-0.021285568311047068,153,38,26
1.700000000000001,0.5552266991314234,0.049933422103861515,0.02848344880677444,0.028506271379703536,0.24666666666666667,0.16666666666666666,-0.02142715072415798,150,37,25
1.750000000000001,0.5486506145577376,0.048934753661784285,0.026943802925327175,0.027366020524515394,0.23809523809523808,0.16326530612244897,-0.02156873313726889,147,35,24
1.8000000000000012,0.5420745299840516,0.047936085219707054,0.026943802925327175,0.027366020524515394,0.24305555555555555,0.16666666666666666,-0.02057006469519166,144,35,24
1.8500000000000012,0.5354984454103657,0.046271637816245006,0.025404157043879907,0.026225769669327253,0.23741007194244604,0.16546762589928057,-0.020045868146917754,139,33,23
1.9000000000000012,0.5289223608366798,0.045272969374167776,0.025404157043879907,0.026225769669327253,0.2426470588235294,0.16911764705882354,-0.019047199704840524,136,33,23
1.9500000000000013,0.5223462762629939,0.043941411451398134,0.025404157043879907,0.026225769669327253,0.25,0.17424242424242425,-0.01771564178207088,132,33,23
2.0000000000000013,0.515770191689308,0.041944074567243674,0.023094688221709007,0.026225769669327253,0.23809523809523808,0.18253968253968253,-0.01571830489791642,126,30,23
